70,100,98
7,46,62
71,18,55
17,78,5
36,69,25
34,52,27
72,29,57
21,89,65
46,95,92
33,49,30
47,45,27
69,44,7
18,16,35
76,97,41
30,64,65
19,47,58
66,21,13
31,6,87
92,16,37
1,92,71
10,39,1
17,95,3
78,32,42
51,7,69
51,14,42
61,74,45
50,19,64
35,18,19
71,11,4
38,80,64
33,23,39
55,8,80
7,84,32
85,82,72
85,60,72
98,54,99
12,35,80
93,96,22
41,79,46
42,22,11
28,95,95
9,51,19
53,15,60
93,48,8
26,75,96
44,45,50
49,48,55
14,14,96
45,97,30
36,39,47
66,65,23
12,25,3
63,84,69
26,52,22
1,48,82
3,9,33
28,22,84
24,85,34
56,43,4
55,29,34
60,82,91
12,3,58
7,7,52
72,27,16
88,92,27
35,26,81
87,69,17
99,61,79
77,37,77
46,41,48
77,31,16
94,41,60
31,50,23
24,50,77
37,74,48
13,73,30
35,49,36
82,44,57
67,44,41
84,41,79
92,13,21
97,53,76
11,89,64
62,16,33
98,23,69
45,45,92
38,66,99
18,5,51
2,76,72
56,32,67
42,66,24
28,48,19
47,85,68
65,94,89
68,24,98
99,70,29
88,74,2
11,50,44
35,61,46
73,9,45
17,56,61
26,37,56
100,42,37
28,76,21
31,76,76
12,78,27
65,12,77
30,63,77
99,78,43
4,95,90
46,59,68
78,83,76
78,93,36
25,55,11
1,10,26
34,74,41
66,12,47
69,80,77
26,77,55
55,84,10
49,48,80
98,46,67
74,10,75
95,62,50
50,20,73
52,86,36
29,75,57
14,76,16
23,85,14
19,38,56
79,50,11
30,58,9
63,98,15
69,92,14
88,9,52
73,79,98
86,42,10
99,99,62
49,15,84
9,70,77
23,19,29
29,58,14
9,35,16
71,27,60
70,91,31
14,39,17
44,10,69
61,10,73
72,7,13
63,70,83
31,30,27
12,79,39
42,57,3
1,85,7
22,31,91
62,89,53
81,87,63
74,1,19
28,16,70
82,13,28
31,67,56
18,61,48
14,86,7
66,77,39
32,34,48
6,58,25
75,77,63
10,75,69
32,75,83
69,56,88
19,4,88
61,53,93
41,49,38
88,22,91
98,17,72
16,64,68
53,61,85
82,27,93
80,96,74
98,21,93
19,15,97
87,67,15
96,70,56
51,60,91
58,64,45
38,51,43
42,53,73
40,54,97
66,68,61
62,32,7
62,60,96
12,73,72
96,34,51
5,1,73
16,75,48
49,94,44
49,14,88
82,83,14
52,37,14
17,93,12
84,70,51
31,22,53
27,34,99
27,61,38
89,50,36
51,36,17
83,62,31
45,36,78
10,44,35
56,39,43
88,65,16
8,53,93
7,55,81
59,96,43
47,93,19
29,40,62
94,45,85
60,100,99
29,44,93
80,77,28
71,73,3
91,2,94
24,7,29
91,13,98
29,49,23
8,4,60
2,64,72
84,43,30
60,10,67
71,89,11
40,28,91
37,93,37
93,76,59
36,78,73
7,45,29
4,33,34
43,96,42
60,70,3
7,22,21
32,2,74
51,50,2
30,82,16
53,95,19
